"Problem","File","Severity","Line","Column","Rule","Description","URL","Category","Engine"
"11","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/CustomWrapper.cls","3","1","27","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"12","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/CustomWrapper.cls","3","5","24","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"13","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/CustomWrapper.cls","3","7","23","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"14","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/CustomWrapper.cls","3","11","20","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"15","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/CustomWrapper.cls","3","13","19","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"16","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/CustomWrapper.cls","3","15","31","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"17","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/LMSVisualforceController.cls","3","1","27","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"18","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/LMSVisualforceController.cls","3","3","20","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"19","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/LMSVisualforceController.cls","3","5","12","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"20","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/LMSVisualforceController.cls","3","9","26","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"21","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/TestAccountController.cls","3","3","24","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"22","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/TestAccountController.cls","3","21","16","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"23","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/TestAccountController.cls","3","32","16","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"24","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/TestContactController.cls","3","3","24","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"25","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/TestLMSVisualforceController.cls","3","23","15","ApexDoc","Missing ApexDoc @description","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"26","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","3","1","no-extra-semi","Unnecessary semicolon.","https://eslint.org/docs/rules/no-extra-semi","Possible Errors","eslint"
"27","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","5","37","no-undef","'define' is not defined.","https://eslint.org/docs/rules/no-undef","Variables","eslint"
"28","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","5","50","no-undef","'define' is not defined.","https://eslint.org/docs/rules/no-undef","Variables","eslint"
"29","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","37","25","no-prototype-builtins","Do not access Object.prototype method 'hasOwnProperty' from target object.","https://eslint.org/docs/rules/no-prototype-builtins","Possible Errors","eslint"
"30","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","546","34","no-useless-escape","Unnecessary escape character: \[.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"31","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","548","39","no-useless-escape","Unnecessary escape character: \[.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"32","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","658","127","no-useless-escape","Unnecessary escape character: \/.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"33","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","663","74","no-unused-vars","'localeData' is defined but never used.","https://eslint.org/docs/rules/no-unused-vars","Variables","eslint"
"34","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","678","78","no-useless-escape","Unnecessary escape character: \[.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"35","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","684","29","no-useless-escape","Unnecessary escape character: \/.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"36","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","927","40","no-useless-escape","Unnecessary escape character: \[.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"37","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","1724","56","no-unused-vars","'config' is defined but never used.","https://eslint.org/docs/rules/no-unused-vars","Variables","eslint"
"38","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","1750","50","no-unused-vars","'config' is defined but never used.","https://eslint.org/docs/rules/no-unused-vars","Variables","eslint"
"39","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","1755","52","no-unused-vars","'config' is defined but never used.","https://eslint.org/docs/rules/no-unused-vars","Variables","eslint"
"40","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","1855","25","no-empty","Empty block statement.","https://eslint.org/docs/rules/no-empty","Possible Errors","eslint"
"41","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","2178","143","no-useless-escape","Unnecessary escape character: \+.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"42","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","2178","145","no-useless-escape","Unnecessary escape character: \-.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"43","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","2179","135","no-useless-escape","Unnecessary escape character: \+.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"44","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","2179","137","no-useless-escape","Unnecessary escape character: \-.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"45","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","2211","39","no-useless-escape","Unnecessary escape character: \-.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"46","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","2830","26","no-useless-escape","Unnecessary escape character: \+.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"47","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","2830","28","no-useless-escape","Unnecessary escape character: \-.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"48","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","3020","26","no-useless-escape","Unnecessary escape character: \-.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"49","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","3020","52","no-useless-escape","Unnecessary escape character: \:.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"50","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","3020","62","no-useless-escape","Unnecessary escape character: \:.","https://eslint.org/docs/rules/no-useless-escape","Best Practices","eslint"
"51","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","3048","20","no-extra-boolean-cast","Redundant double negation.","https://eslint.org/docs/rules/no-extra-boolean-cast","Possible Errors","eslint"
"52","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/moment.js","2","3058","20","no-extra-boolean-cast","Redundant double negation.","https://eslint.org/docs/rules/no-extra-boolean-cast","Possible Errors","eslint"
"53","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/aura/lmsPublisherAuraComponent/lmsPublisherAuraComponentController.js","2","10","9","no-undef","'$A' is not defined.","https://eslint.org/docs/rules/no-undef","Variables","eslint"
"54","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/apexImperativeMethod/apexImperativeMethod.js","2","5","13","files-must-compile","Parsing error: Unexpected token ;",,"Scanner Internal","eslint"
"55","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/apexImperativeMethodWithComplexParams/apexImperativeMethodWithComplexParams.js","2","5","19","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"56","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/apexImperativeMethodWithParams/apexImperativeMethodWithParams.js","2","5","15","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"57","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/apexStaticSchema/apexStaticSchema.js","2","10","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"58","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/apexWireMethodToFunction/apexWireMethodToFunction.js","2","5","13","files-must-compile","Parsing error: Unexpected token ;",,"Scanner Internal","eslint"
"59","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/apexWireMethodToProperty/apexWireMethodToProperty.js","2","5","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"60","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/apexWireMethodWithComplexParams/apexWireMethodWithComplexParams.js","2","5","19","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"61","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/apexWireMethodWithParams/apexWireMethodWithParams.js","2","8","15","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"62","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/apiProperty/apiProperty.js","2","4","16","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"63","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/apiSetterGetter/apiSetterGetter.js","2","4","16","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"64","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/chartBar/chartBar.js","2","4","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"65","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/clock/clock.js","2","4","15","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"66","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/compositionBasics/compositionBasics.js","2","4","13","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"67","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/compositionContactSearch/compositionContactSearch.js","2","8","13","files-must-compile","Parsing error: Unexpected token ;",,"Scanner Internal","eslint"
"68","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/compositionIteration/compositionIteration.js","2","4","14","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"69","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/compositionWithAppBuilder/compositionWithAppBuilder.js","2","4","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"70","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/contactList/contactList.js","2","5","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"71","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/contactListItem/contactListItem.js","2","4","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"72","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/contactListItemBubbling/contactListItemBubbling.js","2","4","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"73","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/contactTile/contactTile.js","2","4","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"74","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/errorPanel/errorPanel.js","2","8","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"75","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/eventBubbling/eventBubbling.js","2","5","20","files-must-compile","Parsing error: Unexpected token ;",,"Scanner Internal","eslint"
"76","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/eventSimple/eventSimple.js","2","4","10","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"77","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/eventWithData/eventWithData.js","2","5","20","files-must-compile","Parsing error: Unexpected token ;",,"Scanner Internal","eslint"
"78","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/hello/hello.js","2","4","14","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"79","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/helloBinding/helloBinding.js","2","4","14","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"80","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/helloConditionalRendering/helloConditionalRendering.js","2","4","23","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"81","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/helloExpressions/helloExpressions.js","2","4","15","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"82","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/helloForEach/helloForEach.js","2","4","14","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"83","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/helloIterator/helloIterator.js","2","4","14","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"84","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/lds/lds.js","2","6","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"85","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/ldsCreateRecord/ldsCreateRecord.js","2","9","14","files-must-compile","Parsing error: Unexpected token ;",,"Scanner Internal","eslint"
"86","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/ldsDeleteRecord/ldsDeleteRecord.js","2","9","13","files-must-compile","Parsing error: Unexpected token ;",,"Scanner Internal","eslint"
"87","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/ldsGenerateRecordInputForCreate/ldsGenerateRecordInputForCreate.js","2","14","15","files-must-compile","Parsing error: Unexpected token ;",,"Scanner Internal","eslint"
"88","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/libsChartjs/libsChartjs.js","2","10","10","files-must-compile","Parsing error: Unexpected token ;",,"Scanner Internal","eslint"
"89","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/libsD3/libsD3.js","2","9","14","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"90","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/libsMomentjs/libsMomentjs.js","2","7","10","files-must-compile","Parsing error: Unexpected token ;",,"Scanner Internal","eslint"
"91","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/lmsPublisherWebComponent/lmsPublisherWebComponent.js","2","9","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"92","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/lmsSubscriberWebComponent/lmsSubscriberWebComponent.js","2","25","18","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"93","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/miscContentAsset/miscContentAsset.js","2","6","20","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"94","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/miscDomQuery/miscDomQuery.js","2","4","14","files-must-compile","Parsing error: Unexpected token ;",,"Scanner Internal","eslint"
"95","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/miscGetUserId/miscGetUserId.js","2","5","12","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"96","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/miscModal/miscModal.js","2","4","13","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"97","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/miscMultipleTemplates/miscMultipleTemplates.js","2","9","21","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"98","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/miscNotification/miscNotification.js","2","5","15","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"99","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/miscRestApiCall/miscRestApiCall.js","2","8","15","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"100","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/miscSharedJavaScript/miscSharedJavaScript.js","2","5","15","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"101","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/miscStaticResource/miscStaticResource.js","2","7","22","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"102","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/modal/modal.js","2","6","15","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"103","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/navToRecord/navToRecord.js","2","6","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"104","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/navToRelatedList/navToRelatedList.js","2","8","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"105","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/recordEditFormDynamicContact/recordEditFormDynamicContact.js","2","4","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"106","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/recordEditFormStaticContact/recordEditFormStaticContact.js","2","11","18","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"107","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/recordFormDynamicContact/recordFormDynamicContact.js","2","5","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"108","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/recordFormStaticContact/recordFormStaticContact.js","2","11","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"109","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/recordViewFormDynamicContact/recordViewFormDynamicContact.js","2","5","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"110","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/recordViewFormStaticContact/recordViewFormStaticContact.js","2","11","18","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"111","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/todoList/todoList.js","2","8","19","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"112","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/viewSource/viewSource.js","2","4","13","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"113","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/wireCurrentPageReference/wireCurrentPageReference.js","2","5","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"114","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/wireGetObjectInfo/wireGetObjectInfo.js","2","5","18","files-must-compile","Parsing error: Unexpected token ;",,"Scanner Internal","eslint"
"115","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/wireGetPicklistValues/wireGetPicklistValues.js","2","6","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"116","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/wireGetPicklistValuesByRecordType/wireGetPicklistValuesByRecordType.js","2","6","14","files-must-compile","Parsing error: Unexpected token ;",,"Scanner Internal","eslint"
"117","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/wireGetRecordDynamicContact/wireGetRecordDynamicContact.js","2","12","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"118","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/wireGetRecordStaticContact/wireGetRecordStaticContact.js","2","12","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"119","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/wireGetRecordUser/wireGetRecordUser.js","2","10","12","files-must-compile","Parsing error: Unexpected token =",,"Scanner Internal","eslint"
"120","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/lwc/wireListView/wireListView.js","2","8","5","files-must-compile","Parsing error: Unexpected character '@'",,"Scanner Internal","eslint"
"121","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/chartJs/Chart.js","2","8","145","no-empty","Empty block statement.","https://eslint.org/docs/rules/no-empty","Possible Errors","eslint"
"122","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/chartJs/Chart.js","2","9","33","no-undef","'define' is not defined.","https://eslint.org/docs/rules/no-undef","Variables","eslint"
"123","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/chartJs/Chart.js","2","9","46","no-undef","'define' is not defined.","https://eslint.org/docs/rules/no-undef","Variables","eslint"
"124","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/chartJs/Chart.js","2","9","157","no-empty","Empty block statement.","https://eslint.org/docs/rules/no-empty","Possible Errors","eslint"
"125","/Users/praveenrajr/work/salesforce/lwc-recipes/force-app/main/default/staticresources/chartJs/Chart.js","2","13","27","no-prototype-builtins","Do not access Object.prototype method 'hasOwnProperty' from target object.","https://eslint.org/docs/rules/no-prototype-builtins","Possible Errors","eslint"
